No.,図形名,文字,UCS,文字,代替変換区分
175,GJ000175,􀂮,U+91CF,量,1
176,GJ000176,􀂯,,,3
177,GJ000177,􀂰,,,3
178,GJ000178,􀂱,,,3
179,GJ000179,􀂲,U+677E,松,1
180,GJ000180,􀂳,,,3
181,GJ000181,􀂴,U+687A,桺,1
182,GJ000182,􀂵,,,3
183,GJ000183,􀂶,U+904A,遊,1
184,GJ000184,􀂷,,,3
185,GJ000185,􀂸,,,3
186,GJ000186,􀂹,,,3
187,GJ000187,􀂺,,,3
188,GJ000188,􀂻,,,3
189,GJ000189,􀂼,,,3
190,GJ000190,􀂽,,,3
191,GJ000191,􀂾,,,3
192,GJ000192,􀂿,,,3
193,GJ000193,􀃀,,,3
194,GJ000194,􀃁,,,3
195,GJ000195,􀃂,,,3
196,GJ000196,􀃃,,,3
197,GJ000197,􀃄,,,3
198,GJ000198,􀃅,,,3
199,GJ000199,􀃆,,,3
200,GJ000200,􀃇,U+6B89,殉,1
201,GJ000201,􀃈,,,3
202,GJ000202,􀃉,,,3
203,GJ000203,􀃊,,,3
204,GJ000204,􀃋,,,3
205,GJ000205,􀃌,U+8C48,豈,2
206,GJ000206,􀃍,,,3
207,GJ000207,􀃎,,,3
208,GJ000208,􀃏,,,3
209,GJ000209,􀃐,,,3
210,GJ000210,􀃑,,,3
211,GJ000211,􀃒,,,3
212,GJ000212,􀃓,,,3
213,GJ000213,􀃔,U+5200,刀,2
214,GJ000214,􀃕,,,3
215,GJ000215,􀃖,,,3
216,GJ000216,􀃗,,,3
217,GJ000217,􀃘,,,3
218,GJ000218,􀃙,,,3
219,GJ000219,􀃚,,,3
220,GJ000220,􀃛,,,3
221,GJ000221,􀃜,,,3
222,GJ000222,􀃝,,,3
223,GJ000223,􀃞,,,3
224,GJ000224,􀃟,,,3
225,GJ000225,􀃠,U+71B1,熱,1
226,GJ000226,􀃡,,,3
227,GJ000227,􀃢,,,3
228,GJ000228,􀃣,,,3
229,GJ000229,􀃤,,,3
230,GJ000230,􀃥,,,3
231,GJ000231,􀃦,U+5546,商,2
232,GJ000232,􀃧,,,3
233,GJ000233,􀃨,,,3
234,GJ000234,􀃩,,,3
235,GJ000235,􀃪,,,3
236,GJ000236,􀃫,U+81E4,臤,2
237,GJ000237,􀃬,,,3
238,GJ000238,􀃭,,,3
239,GJ000239,􀃮,,,3
240,GJ000240,􀃯,,,3
241,GJ000241,􀃰,,,3
242,GJ000242,􀃱,,,3
243,GJ000243,􀃲,,,3
244,GJ000244,􀃳,,,3
245,GJ000245,􀃴,,,3
246,GJ000246,􀃵,,,3
247,GJ000247,􀃶,U+864E,虎,2
248,GJ000248,􀃷,,,3
249,GJ000249,􀃸,,,3
250,GJ000250,􀃹,,,3
251,GJ000251,􀃺,,,3
252,GJ000252,􀃻,,,3
253,GJ000253,􀃼,,,3
254,GJ000254,􀃽,,,3
255,GJ000255,􀃾,,,3
256,GJ000256,􀃿,,,3
257,GJ000257,􀄀,,,3
258,GJ000258,􀄁,,,3
259,GJ000259,􀄂,,,3
260,GJ000260,􀄃,,,3
261,GJ000261,􀄄,,,3
262,GJ000262,􀄅,,,3
263,GJ000263,􀄆,,,3
264,GJ000264,􀄇,,,3
265,GJ000265,􀄈,,,3
266,GJ000266,􀄉,,,3
267,GJ000267,􀄊,,,3
268,GJ000268,􀄋,,,3
269,GJ000269,􀄌,,,3
270,GJ000270,􀄍,,,3
271,GJ000271,􀄎,,,3
272,GJ000272,􀄏,,,3
273,GJ000273,􀄐,,,3
274,GJ000274,􀄑,,,3
275,GJ000275,􀄒,,,3
276,GJ000276,􀄓,,,3
277,GJ000277,􀄔,,,3
278,GJ000278,􀄕,,,3
279,GJ000279,􀄖,,,3
