No.,図形名,文字,UCS,文字,代替変換区分
1742,GJ001742,􅯬,U+52F8,勸,1
1743,GJ001743,􅯯,U+96B9,隹,2
1744,GJ001744,􅯰,U+52F8,勸,1
1745,GJ001745,􅯷,U+52FB,勻,2
1746,GJ001746,􅯼,U+52FB,勻,1
1747,GJ001747,􅯾,U+5186,円,2
1748,GJ001748,􅰃,U+7389,玉,2
1749,GJ001749,􅰒,U+5315,匕,2
1750,GJ001750,􅰝,U+52F9,勹,2
1751,GJ001751,􅰞,U+91CC,里,2
1752,GJ001752,􅰣,U+5BC5,寅,1
1753,GJ001753,􅰧,U+5146,兆,2
1754,GJ001754,􅰪,U+5305,包,2
1755,GJ001755,􅰬,U+975E,非,2
1756,GJ001756,􅰰,U+7532,甲,2
1757,GJ001757,􅰱,U+6597,斗,2
1758,GJ001758,􅰴,U+4E03,七,2
1759,GJ001759,􅰹,U+5315,匕,2
1760,GJ001760,􅱆,U+7ADC,竜,1
1761,GJ001761,􅱉,U+5143,元,2
1762,GJ001762,􅱏,U+3402,㐂,1
1763,GJ001763,􅱒,U+3402,㐂,1
1764,GJ001764,􅱙,U+3402,㐂,1
1765,GJ001765,􅱝,U+3402,㐂,1
1766,GJ001766,􅱥,U+5315,匕,2
1767,GJ001767,􅱦,U+5916,外,2
1768,GJ001768,􅱧,U+53F8,司,2
1769,GJ001769,􅱪,U+672A,未,2
1770,GJ001770,􅱫,U+672B,末,2
1771,GJ001771,􅱴,U+76F4,直,2
1772,GJ001772,􅱾,U+76EE,目,2
1773,GJ001773,􅲌,U+53C8,又,2
1774,GJ001774,􅲎,U+531A,匚,2
1775,GJ001775,􅲏,U+531A,匚,2
1776,GJ001776,􅲑,U+5343,千,2
1777,GJ001777,􅲕,U+2123D,𡈽,2
1778,GJ001778,􅲖,U+4E14,且,2
1779,GJ001779,􅲗,U+53E3,口,2
1780,GJ001780,􅲚,U+76EE,目,2
1781,GJ001781,􅲜,U+572D,圭,2
1782,GJ001782,􅲟,U+5173,关,2
1783,GJ001783,􅲠,U+531A,匚,2
1784,GJ001784,􅲡,U+5321,匡,1
1785,GJ001785,􅲧,U+96B9,隹,2
1786,GJ001786,􅲺,U+6B63,正,1
1787,GJ001787,􅲻,U+5204,刄,2
1788,GJ001788,􅲿,U+5347,升,1
1789,GJ001789,􅳑,U+5315,匕,2
1790,GJ001790,􅳒,U+5346,卆,1
1791,GJ001791,􅳞,U+5728,在,2
1792,GJ001792,􅳣,U+51E2,凢,2
1793,GJ001793,􅳦,U+5349,卉,2
1794,GJ001794,􅳯,U+5F0B,弋,2
1795,GJ001795,􅳱,U+53F3,右,2
1796,GJ001796,􅳲,U+20AD3,𠫓,2
1797,GJ001797,􅳻,U+83EF,華,1
1798,GJ001798,􅴁,U+4E16,世,1
1799,GJ001799,􅴈,U+6709,有,2
1800,GJ001800,􅴓,U+687C,桼,2
1801,GJ001801,􅴘,U+76F4,直,1
1802,GJ001802,􅴡,U+5358,単,1
1803,GJ001803,􅴢,U+514B,克,2
1804,GJ001804,􅴨,U+807F,聿,2
1805,GJ001805,􅴮,U+53F3,右,2
1806,GJ001806,􅴼,U+76F4,直,1
1807,GJ001807,􅵂,U+8877,衷,1
1808,GJ001808,􅵋,U+4E03,七,2
1809,GJ001809,􅵌,U+4E98,亘,2
1810,GJ001810,􅵎,U+76EE,目,2
1811,GJ001811,􅵏,U+592B,夫,2
1812,GJ001812,􅵗,U+51FA,出,2
1813,GJ001813,􅵙,U+96BC,隼,1
1814,GJ001814,􅵩,U+53E4,古,2
1815,GJ001815,􅵾,U+661F,星,2
1816,GJ001816,􅶃,U+4E8D,亍,2
1817,GJ001817,􅶆,U+697D,楽,2
1818,GJ001818,􅶇,U+767E,百,2
1819,GJ001819,􅶈,U+4E5D,九,2
1820,GJ001820,􅶉,U+5915,夕,2
1821,GJ001821,􅶗,U+6E96,準,1
1822,GJ001822,􅶛,U+58FD,壽,1
1823,GJ001823,􅶜,U+5343,千,2
1824,GJ001824,􅶝,U+758B,疋,2
1825,GJ001825,􅶠,U+4EBA,人,2
1826,GJ001826,􅶡,U+53E3,口,2
1827,GJ001827,􅶥,U+4E12,丒,2
1828,GJ001828,􅶦,U+8C9D,貝,2
1829,GJ001829,􅶭,U+535A,博,1
1830,GJ001830,􅶱,U+535A,博,1
1831,GJ001831,􅷂,U+535A,博,1
1832,GJ001832,􅷎,U+552F,唯,2
1833,GJ001833,􅷓,U+5B50,子,2
1834,GJ001834,􅷙,U+5346,卆,2
1835,GJ001835,􅷚,U+5346,卆,2
1836,GJ001836,􅷛,U+767E,百,2
1837,GJ001837,􅷥,U+5E79,幹,1
1838,GJ001838,􅷦,U+5E79,幹,1
1839,GJ001839,􅷲,U+535A,博,1
1840,GJ001840,􅷳,U+535A,博,1
1841,GJ001841,􅷴,U+535A,博,1
1842,GJ001842,􅷿,U+5C0A,尊,2
1843,GJ001843,􅸛,U+2099D,𠦝,2
1844,GJ001844,􅸜,U+2099D,𠦝,2
1845,GJ001845,􅸝,U+769B,皛,2
1846,GJ001846,􅸠,U+2099D,𠦝,2
1847,GJ001847,􅸡,U+8F38,輸,1
1848,GJ001848,􅸥,U+7FF0,翰,1
1849,GJ001849,􅸫,U+670B,朋,2
1850,GJ001850,􅸬,U+9310,錐,2
1851,GJ001851,􅸲,U+53CB,友,2
1852,GJ001852,􅸺,U+5F53,当,1
1853,GJ001853,􅸼,U+76E7,盧,1
1854,GJ001854,􅸾,U+4E07,万,2
1855,GJ001855,􅹂,U+6B7B,死,1
1856,GJ001856,􅹋,U+5965,奥,1
1857,GJ001857,􅹔,U+65E5,日,2
1858,GJ001858,􅹛,U+777F,睿,1
1859,GJ001859,􅹝,U+6708,月,2
1860,GJ001860,􅹪,U+65E5,日,2
1861,GJ001861,􅹷,U+53E1,叡,1
1862,GJ001862,􅹹,U+536C,卬,1
1863,GJ001863,􅺀,U+5C39,尹,2
1864,GJ001864,􅺊,U+90A6,邦,1
1865,GJ001865,􅺒,U+90B1,邱,1
1866,GJ001866,􅺖,U+5DF7,巷,1
1867,GJ001867,􅺘,U+90C1,郁,1
1868,GJ001868,􅺛,U+51FA,出,2
1869,GJ001869,􅺜,U+540D,名,2
1870,GJ001870,􅺳,U+5369,卩,2
1871,GJ001871,􅺴,U+914B,酋,2
1872,GJ001872,􅺷,U+537F,卿,1
1873,GJ001873,􅻂,U+90F7,郷,1
1874,GJ001874,􅻅,U+65A4,斤,2
1875,GJ001875,􅻌,U+537D,卽,2
1876,GJ001876,􅻡,U+5727,圧,1
1877,GJ001877,􅻩,U+5EEC,廬,1
1878,GJ001878,􅻶,U+6C0F,氏,2
1879,GJ001879,􅻹,U+51E0,几,2
1880,GJ001880,􅻺,U+5144,兄,2
1881,GJ001881,􅼎,U+53E3,口,2
1882,GJ001882,􅼗,U+4E47,乇,2
1883,GJ001883,􅼘,U+53E3,口,2
1884,GJ001884,􅼙,U+5203,刃,2
1885,GJ001885,􅼨,U+53E3,口,2
1886,GJ001886,􅼩,U+5DF3,巳,2
1887,GJ001887,􅼪,U+5DF1,己,2
1888,GJ001888,􅼮,U+8FB0,辰,1
1889,GJ001889,􅼶,U+4E4B,之,2
1890,GJ001890,􅼹,U+6B66,武,2
1891,GJ001891,􅼻,U+53E3,口,2
1892,GJ001892,􅼼,U+4E55,乕,1
1893,GJ001893,􅼽,U+5396,厖,1
1894,GJ001894,􅼿,U+5B5D,孝,2
1895,GJ001895,􅽀,U+65E8,旨,1
1896,GJ001896,􅽋,U+6B66,武,2
1897,GJ001897,􅽌,U+6728,木,2
1898,GJ001898,􅽍,U+793A,示,2
1899,GJ001899,􅽓,U+539A,厚,1
1900,GJ001900,􅽚,U+539F,原,1
1901,GJ001901,􅽛,U+7530,田,2
1902,GJ001902,􅽦,U+5152,兒,2
1903,GJ001903,􅽨,U+6B20,欠,2
1904,GJ001904,􅽩,U+9E81,麁,1
1905,GJ001905,􅽫,U+9E81,麁,1
1906,GJ001906,􅽱,U+590D,复,2
1907,GJ001907,􅽳,U+539F,原,2
1908,GJ001908,􅾅,U+9E97,麗,1
1909,GJ001909,􅾉,U+4E80,亀,2
1910,GJ001910,􅾝,U+6587,文,2
1911,GJ001911,􅾡,U+88C1,裁,2
1912,GJ001912,􅾭,U+539A,厚,2
1913,GJ001913,􅾮,U+4E3F,丿,2
1914,GJ001914,􅾰,U+8CB4,貴,2
1915,GJ001915,􅿉,U+7188,熈,1
1916,GJ001916,􅿍,U+56B4,嚴,1
1917,GJ001917,􅿖,U+5EC9,廉,1
1918,GJ001918,􅿗,U+5FC3,心,2
1919,GJ001919,􅿘,U+601D,思,2
1920,GJ001920,􅿙,U+7570,異,2
1921,GJ001921,􅿪,U+56B4,嚴,1
1922,GJ001922,􅿱,U+539F,原,2
1923,GJ001923,􅿳,U+56B4,嚴,1
1924,GJ001924,􅿸,U+56B4,嚴,1
1925,GJ001925,􅿹,U+6B77,歷,2
1926,GJ001926,􆀂,U+56B4,嚴,1
1927,GJ001927,􆀆,U+9DF9,鷹,2
1928,GJ001928,􆀈,U+8D14,贔,2
1929,GJ001929,􆀊,U+539F,原,1
1930,GJ001930,􆀋,U+539F,原,1
1931,GJ001931,􆀌,U+9130,鄰,1
1932,GJ001932,􆀍,U+4E42,乂,2
1933,GJ001933,􆀒,U+4EE5,以,1
1934,GJ001934,􆀓,U+5B8F,宏,1
1935,GJ001935,􆀘,U+5927,大,2
1936,GJ001936,􆀚,U+5141,允,1
1937,GJ001937,􆀩,U+725F,牟,1
1938,GJ001938,􆀫,U+725F,牟,1
1939,GJ001939,􆀮,U+5FC3,心,2
1940,GJ001940,􆀯,U+53B6,厶,2
1941,GJ001941,􆀱,U+5C23,尣,2
1942,GJ001942,􆀳,U+5F01,弁,1
1943,GJ001943,􆀻,U+6BCB,毋,2
1944,GJ001944,􆀿,U+51F6,凶,2
1945,GJ001945,􆁀,U+53B6,厶,2
1946,GJ001946,􆁆,U+752C,甬,1
1947,GJ001947,􆁇,U+5144,兄,2
1948,GJ001948,􆁑,U+53B6,厶,2
1949,GJ001949,􆁕,U+5E02,市,2
1950,GJ001950,􆁚,U+80FD,能,1
1951,GJ001951,􆁡,U+76CA,益,1
1952,GJ001952,􆁦,U+4E18,丘,2
1953,GJ001953,􆁨,U+5317,北,2
1954,GJ001954,􆁰,U+8A98,誘,1
1955,GJ001955,􆁱,U+8A98,誘,1
1956,GJ001956,􆁻,U+9B3C,鬼,1
1957,GJ001957,􆂁,U+76BF,皿,2
1958,GJ001958,􆂂,U+53B6,厶,2
1959,GJ001959,􆂃,U+53B6,厶,2
1960,GJ001960,􆂄,U+8A98,誘,1
1961,GJ001961,􆂎,U+6B66,武,2
1962,GJ001962,􆂙,U+4E91,云,2
1963,GJ001963,􆂛,U+5EE3,廣,2
1964,GJ001964,􆂣,U+53C8,又,2
1965,GJ001965,􆂤,U+53CA,及,2
1966,GJ001966,􆂩,U+6260,扠,1
1967,GJ001967,􆂪,U+53CB,友,1
1968,GJ001968,􆂯,U+53C8,又,2
1969,GJ001969,􆂲,U+53CB,友,1
1970,GJ001970,􆂴,U+4E94,五,2
1971,GJ001971,􆂻,U+53D7,受,2
1972,GJ001972,􆂼,U+6B63,正,2
1973,GJ001973,􆃂,U+540D,名,2
1974,GJ001974,􆃃,U+5409,吉,2
1975,GJ001975,􆃏,U+53D4,叔,2
1976,GJ001976,􆃕,U+820E,舎,2
1977,GJ001977,􆃤,U+5BA2,客,2
1978,GJ001978,􆄋,U+53E1,叡,1
1979,GJ001979,􆄐,U+79BE,禾,2
1980,GJ001980,􆄕,U+53E1,叡,1
1981,GJ001981,􆄚,U+50C9,僉,2
1982,GJ001982,􆄣,U+53E1,叡,1
1983,GJ001983,􆄰,U+8B8A,變,1
1984,GJ001984,􆄴,U+53E1,叡,1
1985,GJ001985,􆅆,U+54E5,哥,1
1986,GJ001986,􆅐,U+53E3,口,2
1987,GJ001987,􆅔,U+53E3,口,2
1988,GJ001988,􆅗,U+53EF,可,1
1989,GJ001989,􆅟,U+9091,邑,1
1990,GJ001990,􆅠,U+5144,兄,2
1991,GJ001991,􆅤,U+3775,㝵,2
1992,GJ001992,􆅫,U+55CE,嗎,1
1993,GJ001993,􆅬,U+5973,女,2
1994,GJ001994,􆅺,U+6614,昔,2
1995,GJ001995,􆆇,U+5449,呉,1
1996,GJ001996,􆆏,U+82E5,若,1
1997,GJ001997,􆆚,U+5409,吉,2
1998,GJ001998,􆆦,U+540F,吏,2
1999,GJ001999,􆆨,U+5199,写,2
2000,GJ002000,􆆫,U+53EF,可,2
2001,GJ002001,􆆬,U+53EF,可,2
2002,GJ002002,􆆳,U+7530,田,2
2003,GJ002003,􆆼,U+54B8,咸,1
2004,GJ002004,􆆽,U+5672,噲,1
2005,GJ002005,􆇁,U+53EA,只,2
2006,GJ002006,􆇂,U+674F,杏,2
2007,GJ002007,􆇋,U+6636,昶,2
2008,GJ002008,􆇌,U+4EE3,代,2
2009,GJ002009,􆇎,U+54B2,咲,1
2010,GJ002010,􆇕,U+5E74,年,2
2011,GJ002011,􆇗,U+5474,呴,2
2012,GJ002012,􆇙,U+5173,关,2
2013,GJ002013,􆇚,U+5173,关,2
2014,GJ002014,􆇛,U+624C,扌,2
2015,GJ002015,􆇠,U+665F,晟,2
2016,GJ002016,􆇧,U+53C8,又,2
2017,GJ002017,􆇩,U+53E3,口,2
2018,GJ002018,􆇪,U+5F61,彡,2
2019,GJ002019,􆇮,U+53E3,口,2
2020,GJ002020,􆇱,U+53E3,口,2
2021,GJ002021,􆇺,U+9F5D,齝,1
2022,GJ002022,􆈂,U+5D52,嵒,1
2023,GJ002023,􆈗,U+8003,考,2
2024,GJ002024,􆈘,U+2634C,𦍌,2
2025,GJ002025,􆈠,U+6284,抄,2
2026,GJ002026,􆈢,U+5229,利,2
2027,GJ002027,􆈣,U+5C11,少,2
2028,GJ002028,􆈨,U+54B2,咲,1
2029,GJ002029,􆈩,U+54B2,咲,1
2030,GJ002030,􆈪,U+53E3,口,2
2031,GJ002031,􆈫,U+675F,束,2
2032,GJ002032,􆈬,U+4E4E,乎,2
2033,GJ002033,􆈭,U+4E0A,上,2
2034,GJ002034,􆈰,U+5B5D,孝,2
2035,GJ002035,􆈳,U+571F,土,2
2036,GJ002036,􆈶,U+4F3A,伺,1
2037,GJ002037,􆈷,U+53F8,司,2
2038,GJ002038,􆉘,U+53E3,口,2
2039,GJ002039,􆉛,U+65E5,日,2
2040,GJ002040,􆉜,U+592B,夫,2
2041,GJ002041,􆉝,U+961C,阜,2
2042,GJ002042,􆉠,U+6589,斉,2
2043,GJ002043,􆉢,U+672A,未,2
2044,GJ002044,􆉣,U+5DF4,巴,2
2045,GJ002045,􆉲,U+9CF4,鳴,1
2046,GJ002046,􆉺,U+5668,器,1
2047,GJ002047,􆊅,U+8005,者,2
2048,GJ002048,􆊕,U+53E3,口,2
2049,GJ002049,􆊘,U+5616,嘖,1
2050,GJ002050,􆊚,U+6544,敄,2
2051,GJ002051,􆊝,U+5915,夕,2
2052,GJ002052,􆊟,U+5915,夕,2
2053,GJ002053,􆊠,U+7802,砂,2
2054,GJ002054,􆊣,U+5557,啗,1
2055,GJ002055,􆊦,U+675F,束,2
2056,GJ002056,􆊫,U+5553,啓,1
2057,GJ002057,􆊶,U+55E3,嗣,1
2058,GJ002058,􆋖,U+7F8E,美,2
2059,GJ002059,􆋗,U+8C9E,貞,2
2060,GJ002060,􆋞,U+624D,才,2
2061,GJ002061,􆋥,U+53F8,司,2
2062,GJ002062,􆋵,U+55E3,嗣,1
2063,GJ002063,􆋹,U+83AB,莫,2
2064,GJ002064,􆌘,U+54A0,咠,2
2065,GJ002065,􆌙,U+54A0,咠,2
2066,GJ002066,􆌜,U+767D,白,2
2067,GJ002067,􆌝,U+9AD8,高,2
2068,GJ002068,􆌞,U+662F,是,2
2069,GJ002069,􆌟,U+5E38,常,2
2070,GJ002070,􆌣,U+5448,呈,2
2071,GJ002071,􆌥,U+53E3,口,2
2072,GJ002072,􆌨,U+9AD8,高,2
2073,GJ002073,􆌷,U+FA38,器,1
2074,GJ002074,􆍂,U+66B2,暲,2
2075,GJ002075,􆍄,U+5586,喆,2
2076,GJ002076,􆍊,U+624D,才,2
2077,GJ002077,􆍋,U+767E,百,2
2078,GJ002078,􆍍,U+91FF,釿,2
2079,GJ002079,􆍎,U+53F8,司,2
2080,GJ002080,􆍏,U+541B,君,2
2081,GJ002081,􆍐,U+5E78,幸,2
2082,GJ002082,􆍑,U+4EAC,京,2
2083,GJ002083,􆍔,U+7550,畐,2
2084,GJ002084,􆍠,U+558B,喋,1
2085,GJ002085,􆍡,U+6222,戢,2
2086,GJ002086,􆍣,U+560E,嘎,1
2087,GJ002087,􆍰,U+9EA6,麦,2
2088,GJ002088,􆍻,U+656C,敬,2
2089,GJ002089,􆍼,U+656C,敬,2
2090,GJ002090,􆍽,U+656C,敬,2
2091,GJ002091,􆎀,U+6108,愈,2
2092,GJ002092,􆎁,U+6108,愈,2
2093,GJ002093,􆎐,U+958B,開,2
2094,GJ002094,􆎑,U+5149,光,2
2095,GJ002095,􆎮,U+7758,睘,2
2096,GJ002096,􆎿,U+58FD,壽,2
2097,GJ002097,􆏍,U+5713,圓,1
2098,GJ002098,􆏏,U+5713,圓,1
2099,GJ002099,􆏐,U+56D7,囗,2
2100,GJ002100,􆏑,U+56D7,囗,2
2101,GJ002101,􆏒,U+56D7,囗,2
2102,GJ002102,􆏓,U+56FD,国,1
2103,GJ002103,􆏟,U+5915,夕,2
2104,GJ002104,􆏡,U+6B79,歹,2
2105,GJ002105,􆏬,U+6C38,永,2
2106,GJ002106,􆏮,U+56FD,国,1
2107,GJ002107,􆏱,U+5915,夕,2
2108,GJ002108,􆏲,U+4E45,久,2
2109,GJ002109,􆏴,U+6DF5,淵,1
2110,GJ002110,􆏾,U+672C,本,2
2111,GJ002111,􆐄,U+6C38,永,2
2112,GJ002112,􆐅,U+5713,圓,1
2113,GJ002113,􆐇,U+2634C,𦍌,2
2114,GJ002114,􆐊,U+514A,兊,2
2115,GJ002115,􆐌,U+56FD,国,1
2116,GJ002116,􆐏,U+5442,呂,2
2117,GJ002117,􆐐,U+7A96,窖,1
2118,GJ002118,􆐗,U+514C,兌,2
2119,GJ002119,􆐘,U+514C,兌,2
2120,GJ002120,􆐚,U+5712,園,1
2121,GJ002121,􆐛,U+4ECE,从,2
2122,GJ002122,􆐜,U+5E00,帀,2
2123,GJ002123,􆐞,U+56FD,国,1
2124,GJ002124,􆐥,U+570B,國,1
2125,GJ002125,􆐦,U+570B,國,1
2126,GJ002126,􆐨,U+570B,國,1
2127,GJ002127,􆐭,U+5E7A,幺,2
2128,GJ002128,􆐳,U+5149,光,2
2129,GJ002129,􆐴,U+5CA9,岩,2
2130,GJ002130,􆐵,U+382F,㠯,2
2131,GJ002131,􆐷,U+91D1,金,2
2132,GJ002132,􆐸,U+660E,明,2
2133,GJ002133,􆐹,U+53E3,口,2
2134,GJ002134,􆐻,U+5708,圈,1
2135,GJ002135,􆐽,U+5712,園,1
2136,GJ002136,􆑌,U+7F52,罒,2
2137,GJ002137,􆑎,U+8863,衣,2
2138,GJ002138,􆑑,U+570B,國,1
2139,GJ002139,􆑥,U+6668,晨,2
2140,GJ002140,􆑧,U+8CA2,貢,2
2141,GJ002141,􆑱,U+5716,圖,1
2142,GJ002142,􆑻,U+6668,晨,2
2143,GJ002143,􆑼,U+4E80,亀,2
2144,GJ002144,􆒊,U+5716,圖,1
2145,GJ002145,􆒐,U+54C1,品,2
2146,GJ002146,􆒑,U+667A,智,2
2147,GJ002147,􆒒,U+58F9,壹,2
2148,GJ002148,􆒚,U+54C1,品,2
2149,GJ002149,􆒯,U+5584,善,2
2150,GJ002150,􆒶,U+58EE,壮,1
2151,GJ002151,􆓅,U+5B5D,孝,2
2152,GJ002152,􆓓,U+5927,大,2
2153,GJ002153,􆓔,U+5973,女,2
2154,GJ002154,􆓘,U+3402,㐂,1
2155,GJ002155,􆓢,U+706B,火,2
2156,GJ002156,􆓯,U+6708,月,2
2157,GJ002157,􆓴,U+572D,圭,1
2158,GJ002158,􆓶,U+572D,圭,1
2159,GJ002159,􆓿,U+58B3,墳,1
2160,GJ002160,􆔂,U+6762,杢,1
2161,GJ002161,􆔄,U+51F6,凶,2
2162,GJ002162,􆔅,U+5DF4,巴,2
2163,GJ002163,􆔈,U+571F,土,2
2164,GJ002164,􆔍,U+5916,外,2
2165,GJ002165,􆔑,U+52A0,加,2
2166,GJ002166,􆔖,U+571F,土,2
2167,GJ002167,􆔝,U+6B63,正,2
2168,GJ002168,􆔥,U+5366,卦,1
2169,GJ002169,􆔶,U+6B63,正,2
2170,GJ002170,􆔷,U+5740,址,2
2171,GJ002171,􆔸,U+572D,圭,1
2172,GJ002172,􆕃,U+7532,甲,2
2173,GJ002173,􆕅,U+73BF,玿,2
2174,GJ002174,􆕊,U+219C3,𡧃,2
2175,GJ002175,􆕋,U+4EAC,京,2
2176,GJ002176,􆕌,U+6B2F,欯,2
2177,GJ002177,􆕕,U+57C8,埈,1
2178,GJ002178,􆕚,U+574D,坍,1
2179,GJ002179,􆕞,U+5774,坴,1
2180,GJ002180,􆕮,U+571F,土,2
2181,GJ002181,􆕷,U+5B89,安,2
2182,GJ002182,􆕹,U+73E3,珣,2
2183,GJ002183,􆕺,U+73EA,珪,2
2184,GJ002184,􆖄,U+5409,吉,2
2185,GJ002185,􆖅,U+2131B,𡌛,1
2186,GJ002186,􆖉,U+5FCD,忍,2
2187,GJ002187,􆖊,U+7532,甲,2
2188,GJ002188,􆖎,U+5902,夂,2
2189,GJ002189,􆖓,U+574A,坊,2
2190,GJ002190,􆖗,U+572D,圭,2
2191,GJ002191,􆖜,U+57AA,垪,1
2192,GJ002192,􆖝,U+5317,北,2
2193,GJ002193,􆖞,U+57DF,域,1
2194,GJ002194,􆗅,U+5229,利,2
2195,GJ002195,􆗋,U+758C,疌,2
2196,GJ002196,􆗎,U+5E78,幸,2
2197,GJ002197,􆗓,U+571F,土,2
2198,GJ002198,􆗕,U+200A4,𠂤,2
2199,GJ002199,􆗖,U+7384,玄,2
2200,GJ002200,􆗥,U+57D7,埗,1
2201,GJ002201,􆗨,U+9752,青,2
2202,GJ002202,􆗩,U+7A7A,空,2
2203,GJ002203,􆗾,U+5854,塔,1
2204,GJ002204,􆘤,U+742A,琪,2
2205,GJ002205,􆘧,U+590C,夌,2
2206,GJ002206,􆘲,U+9644,附,2
2207,GJ002207,􆘴,U+91D1,金,2
2208,GJ002208,􆘵,U+5E78,幸,2
2209,GJ002209,􆘼,U+572D,圭,2
2210,GJ002210,􆘿,U+8336,茶,2
2211,GJ002211,􆙀,U+5BA4,室,2
2212,GJ002212,􆙄,U+585A,塚,1
2213,GJ002213,􆙇,U+76BF,皿,2
2214,GJ002214,􆙈,U+81E3,臣,2
2215,GJ002215,􆙊,U+5C02,専,2
2216,GJ002216,􆙏,U+5834,場,1
2217,GJ002217,􆙰,U+213C4,𡏄,1
2218,GJ002218,􆙷,U+571F,土,2
2219,GJ002219,􆙽,U+8352,荒,2
2220,GJ002220,􆚃,U+25055,𥁕,2
2221,GJ002221,􆚄,U+6052,恒,2
2222,GJ002222,􆚈,U+5357,南,2
2223,GJ002223,􆚔,U+6643,晃,2
2224,GJ002224,􆚜,U+91CE,野,1
2225,GJ002225,􆚣,U+57FB,埻,1
2226,GJ002226,􆚲,U+585A,塚,1
2227,GJ002227,􆚴,U+5721,圡,2
2228,GJ002228,􆚶,U+586B,填,1
2229,GJ002229,􆚻,U+5872,塲,1
2230,GJ002230,􆛔,U+588F,墏,1
2231,GJ002231,􆛕,U+5890,墐,1
2232,GJ002232,􆛛,U+83EB,菫,1
2233,GJ002233,􆛜,U+5869,塩,1
2234,GJ002234,􆛩,U+7ADC,竜,2
2235,GJ002235,􆛪,U+7473,瑳,1
2236,GJ002236,􆛬,U+7483,璃,2
2237,GJ002237,􆛭,U+9664,除,2
2238,GJ002238,􆛷,U+571F,土,2
2239,GJ002239,􆛻,U+4ECE,从,2
2240,GJ002240,􆛽,U+7483,璃,2
2241,GJ002241,􆛿,U+898F,規,2
2242,GJ002242,􆜂,U+4EAC,京,2
2243,GJ002243,􆜇,U+5858,塘,1
2244,GJ002244,􆜠,U+588F,墏,1
2245,GJ002245,􆜨,U+749C,璜,2
2246,GJ002246,􆜳,U+4E7E,乾,2
2247,GJ002247,􆜵,U+6881,梁,2
2248,GJ002248,􆜹,U+7523,産,2
2249,GJ002249,􆜺,U+5802,堂,2
2250,GJ002250,􆝀,U+58C1,壁,1
2251,GJ002251,􆝃,U+667A,智,2
2252,GJ002252,􆝄,U+96C4,雄,2
2253,GJ002253,􆝅,U+54C1,品,2
2254,GJ002254,􆝘,U+58DC,壜,1
2255,GJ002255,􆝬,U+5897,増,1
2256,GJ002256,􆝳,U+7766,睦,1
2257,GJ002257,􆝵,U+8207,與,2
2258,GJ002258,􆝺,U+610F,意,2
2259,GJ002259,􆝻,U+864E,虎,2
2260,GJ002260,􆞄,U+65E5,日,2
2261,GJ002261,􆞅,U+58F4,壴,2
2262,GJ002262,􆞋,U+58C7,壇,1
2263,GJ002263,􆞌,U+58C7,壇,1
2264,GJ002264,􆞏,U+58E2,壢,1
2265,GJ002265,􆞘,U+5408,合,2
2266,GJ002266,􆞚,U+58BB,墻,1
2267,GJ002267,􆞠,U+58E4,壤,1
2268,GJ002268,􆞦,U+596D,奭,2
2269,GJ002269,􆞪,U+6CF0,泰,2
2270,GJ002270,􆞷,U+23CFE,𣳾,2
2271,GJ002271,􆞽,U+74D4,瓔,2
2272,GJ002272,􆞾,U+85B0,薰,2
2273,GJ002273,􆟃,U+8987,覇,2
2274,GJ002274,􆟍,U+58EB,士,2
2275,GJ002275,􆟏,U+3402,㐂,1
2276,GJ002276,􆟔,U+5FD7,志,1
2277,GJ002277,􆟗,U+559C,喜,1
2278,GJ002278,􆟙,U+5973,女,2
2279,GJ002279,􆟧,U+559C,喜,1
2280,GJ002280,􆟭,U+673A,机,2
2281,GJ002281,􆟯,U+5BFF,寿,1
2282,GJ002282,􆟸,U+51E0,几,2
2283,GJ002283,􆟹,U+58F7,壷,1
2284,GJ002284,􆟺,U+58FA,壺,1
2285,GJ002285,􆠉,U+559C,喜,1
2286,GJ002286,􆠌,U+58FC,壼,1
2287,GJ002287,􆠒,U+5DF3,巳,2
2288,GJ002288,􆠬,U+5409,吉,2
2289,GJ002289,􆠼,U+58F9,壹,1
2290,GJ002290,􆡌,U+540B,吋,2
2291,GJ002291,􆡏,U+5BF3,寳,2
2292,GJ002292,􆡒,U+58F9,壹,2
2293,GJ002293,􆡓,U+76D7,盗,2
2294,GJ002294,􆡕,U+51E6,処,1
2295,GJ002295,􆡖,U+5973,女,2
2296,GJ002296,􆡜,U+8033,耳,2
2297,GJ002297,􆡝,U+5404,各,2
2298,GJ002298,􆡤,U+99AC,馬,2
2299,GJ002299,􆡧,U+53C8,又,2
2300,GJ002300,􆡨,U+529B,力,2
2301,GJ002301,􆡩,U+590A,夊,2
2302,GJ002302,􆡫,U+5902,夂,2
2303,GJ002303,􆡭,U+53E3,口,2
2304,GJ002304,􆡮,U+590A,夊,2
2305,GJ002305,􆡰,U+5902,夂,2
2306,GJ002306,􆡱,U+5902,夂,2
2307,GJ002307,􆡵,U+516C,公,2
2308,GJ002308,􆡺,U+7531,由,2
2309,GJ002309,􆡽,U+590C,夌,2
2310,GJ002310,􆡾,U+20AD3,𠫓,2
2311,GJ002311,􆢀,U+897F,西,2
2312,GJ002312,􆢅,U+590F,夏,1
2313,GJ002313,􆢋,U+590D,复,1
2314,GJ002314,􆢥,U+5347,升,2
2315,GJ002315,􆢧,U+3060,だ,1
